assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path
GCF_002609385.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1796993	2560333	Bacillus phage Mgbh1	na	na	latest	Complete Genome	Major	Full	2019/05/02	ASM260938v1		GCA_002609385.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/609/385/GCF_002609385.1_ASM260938v1
GCF_001579395.1	PRJNA485481	na	na	na	na	na	1797140	1797140	Acidianus tailed spindle virus	na	1	latest	Complete Genome	Major	Full	2016/03/01	ViralProj313553		GCA_001579395.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/579/395/GCF_001579395.1_ViralProj313553
GCF_001885345.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1815521	2956469	Synechococcus phage S-WAM1	na	0810PA09	latest	Complete Genome	Major	Full	2016/11/15	ViralProj353687		GCA_001885345.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/885/345/GCF_001885345.1_ViralProj353687
GCF_001882115.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1815522	2734103	Synechococcus phage S-WAM2	na	0810PA29	latest	Complete Genome	Major	Full	2016/11/15	ViralProj353686		GCA_001882115.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/882/115/GCF_001882115.1_ViralProj353686
GCF_003329145.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1815983	2844087	Dinoroseobacter phage DS-1410Ws-06	na	na	latest	Complete Genome	Major	Full	2020/07/03	ASM332914v1		GCA_003329145.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/329/145/GCF_003329145.1_ASM332914v1
GCF_003329205.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1815984	2846069	Roseobacter phage RD-1410W1-01	na	na	latest	Complete Genome	Major	Full	2020/07/03	ASM332920v1		GCA_003329205.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/329/205/GCF_003329205.1_ASM332920v1
GCF_001736795.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1838061	1982558	Gordonia phage Bachita	na	na	latest	Complete Genome	Major	Full	2016/09/19	ViralProj343516		GCA_001736795.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/736/795/GCF_001736795.1_ViralProj343516
GCF_001736775.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1838065	1982559	Gordonia phage ClubL	na	na	latest	Complete Genome	Major	Full	2016/09/19	ViralProj343512		GCA_001736775.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/736/775/GCF_001736775.1_ViralProj343512
GCF_001698335.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1838078	1982561	Gordonia phage Smoothie	na	na	latest	Complete Genome	Major	Full	2016/08/01	ViralProj336043		GCA_001698335.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/698/335/GCF_001698335.1_ViralProj336043
GCF_001744715.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1844477	1982240	Pseudomonas phage NP1	na	na	latest	Complete Genome	Major	Full	2016/09/23	ViralProj344191		GCA_001744715.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/744/715/GCF_001744715.1_ViralProj344191
GCF_001745835.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1873777	2956119	Streptomyces phage Nanodon	na	na	latest	Complete Genome	Major	Full	2016/09/23	ViralProj344148		GCA_001745835.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/745/835/GCF_001745835.1_ViralProj344148
GCF_002611865.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1873996	2956118	Streptomyces phage Lorelei	na	na	latest	Complete Genome	Major	Full	2021/05/03	ASM261186v1		GCA_002611865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/611/865/GCF_002611865.1_ASM261186v1
GCF_003344285.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1881383	2846600	Vibrio phage 1.097.O._10N.286.49.B3	na	na	latest	Complete Genome	Major	Full	2020/07/03	ASM334428v1		GCA_003344285.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/344/285/GCF_003344285.1_ASM334428v1
GCF_003926515.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1881421	2846601	Vibrio phage 1.026.O._10N.222.49.C7	na	na	latest	Complete Genome	Major	Full	2020/07/03	ASM392651v1		GCA_003926515.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/926/515/GCF_003926515.1_ASM392651v1
GCF_002922185.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1883365	2955237	Synechococcus phage S-CAM22	na	0210CC35	latest	Complete Genome	Major	Full	2021/06/02	ASM292218v1		GCA_002922185.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/922/185/GCF_002922185.1_ASM292218v1
GCF_001881915.1	PRJNA485481	na	na	na	na	na	1883365	2955237	Synechococcus phage S-CAM22	na	1209TA19	latest	Complete Genome	Major	Full	2016/11/15	ViralProj353683		GCA_001881915.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/881/915/GCF_001881915.1_ViralProj353683
GCF_001882155.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1883366	2734102	Synechococcus phage S-CAM3	na	1010CC42	latest	Complete Genome	Major	Full	2016/11/15	ViralProj353682		GCA_001882155.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/882/155/GCF_001882155.1_ViralProj353682
GCF_002366065.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1883367	2956329	Synechococcus phage S-CAM4	na	0809SB33	latest	Complete Genome	Major	Full	2016/11/15	ViralProj353501		GCA_002366065.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/366/065/GCF_002366065.1_ViralProj353501
GCF_001882035.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1883368	2734118	Synechococcus phage S-CAM7	na	0910CC49	latest	Complete Genome	Major	Full	2016/11/15	ViralProj353681		GCA_001882035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/882/035/GCF_001882035.1_ViralProj353681
GCF_001881955.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1883369	2734111	Synechococcus phage S-CAM9	na	1109NB16	latest	Complete Genome	Major	Full	2016/11/15	ViralProj353680		GCA_001881955.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/881/955/GCF_001881955.1_ViralProj353680
GCF_001744935.1	PRJNA485481	na	na	na	na	na	1887645	1887645	Gordonia phage Cucurbita	na	na	latest	Complete Genome	Major	Full	2016/09/23	ViralProj344096		GCA_001744935.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/744/935/GCF_001744935.1_ViralProj344096
GCF_001746115.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1891703	2955509	Mycobacterium phage Tonenili	na	na	latest	Complete Genome	Major	Full	2016/09/23	ViralProj344210		GCA_001746115.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/746/115/GCF_001746115.1_ViralProj344210
GCF_002612405.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1897437	2560706	Rhodococcus phage Weasels2	na	na	latest	Complete Genome	Major	Full	2019/05/02	ASM261240v1		GCA_002612405.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/612/405/GCF_002612405.1_ASM261240v1
GCF_001995575.1	PRJNA485481	SAMEA4465882	na	na	na	na	1903266	1903266	Cedratvirus A11	strain=A11	na	latest	Chromosome	Major	Full	2016/12/14	ViralProj357483		GCA_001995575.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/995/575/GCF_001995575.1_ViralProj357483
GCF_002614665.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1913034	2955575	Streptomyces phage Joe	na	na	latest	Complete Genome	Major	Full	2021/05/03	ASM261466v1		GCA_002614665.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/614/665/GCF_002614665.1_ASM261466v1
GCF_002614865.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1913044	2560606	Mycobacterium phage Lukilu	na	na	latest	Complete Genome	Major	Full	2019/05/02	ASM261486v1		GCA_002614865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/614/865/GCF_002614865.1_ASM261486v1
GCF_002615085.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1913109	2846604	Vibrio phage vB_VspP_pVa5	na	na	latest	Complete Genome	Major	Full	2020/07/03	ASM261508v1		GCA_002615085.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/615/085/GCF_002615085.1_ASM261508v1
GCF_002617005.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1916414	2733977	Pectobacterium phage PP101	na	na	latest	Complete Genome	Major	Full	2020/05/15	ASM261700v2		GCA_002617005.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/617/005/GCF_002617005.1_ASM261700v2
GCF_001887825.1	PRJNA485481	na	na	na	na	na	1917232	1917232	Only Syngen Nebraska virus 5	na	OSyNE-5	latest	Complete Genome	Major	Full	2016/11/29	ViralProj355304		GCA_001887825.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/887/825/GCF_001887825.1_ViralProj355304
GCF_002989895.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1958917	2845776	Pectobacterium phage vB_PatP_CB1	na	na	latest	Complete Genome	Major	Full	2020/06/19	ASM298989v1		GCA_002989895.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/989/895/GCF_002989895.1_ASM298989v1
GCF_002989955.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1958919	2845777	Pectobacterium phage vB_PatP_CB4	na	na	latest	Complete Genome	Major	Full	2020/06/19	ASM298995v1		GCA_002989955.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/989/955/GCF_002989955.1_ASM298995v1
GCF_002619805.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1964565	2956437	Synechococcus virus S-ESS1	na	na	latest	Complete Genome	Major	Full	2021/02/13	ASM261980v1		GCA_002619805.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/619/805/GCF_002619805.1_ASM261980v1
GCF_009828375.1	PRJNA485481	SAMN06544928	na	na	na	ICTV species exemplar	1965354	2845779	Pectobacterium phage phiA41	na	na	latest	Complete Genome	Major	Full	2020/06/19	ASM982837v1		GCA_009828375.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/828/375/GCF_009828375.1_ASM982837v1
GCF_002955035.1	PRJNA485481	na	na	na	na	na	1970800	1970800	Pseudomonas phage JG054	na	na	latest	Complete Genome	Major	Full	2023/03/26	ASM295503v1		GCA_002955035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/955/035/GCF_002955035.1_ASM295503v1
GCF_002623685.1	PRJNA485481	na	na	na	na	ICTV species exemplar	1983572	2956439	Synechococcus phage S-H35	na	na	latest	Complete Genome	Major	Full	2021/06/02	ASM262368v1		GCA_002623685.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/623/685/GCF_002623685.1_ASM262368v1
GCF_002624825.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2005048	2733972	Escherichia phage ST32	na	na	latest	Complete Genome	Major	Full	2020/05/15	ASM262482v2		GCA_002624825.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/624/825/GCF_002624825.1_ASM262482v2
GCF_002625205.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2010329	2560261	Acidovorax phage ACP17	na	na	latest	Complete Genome	Major	Full	2019/05/02	ASM262520v1		GCA_002625205.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/625/205/GCF_002625205.1_ASM262520v1
GCF_002892525.1	PRJNA485481	SAMEA104216704	na	na	na	na	2023057	2023057	Orpheovirus IHUMI-LCC2	strain=IHUMI-LCC2	na	latest	Chromosome	Major	Full	2018/01/13	ASM289252v1		GCA_002892525.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/892/525/GCF_002892525.1_ASM289252v1
GCF_002627405.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2023959	2560787	Streptomyces phage Mildred21	na	na	latest	Complete Genome	Major	Full	2019/05/02	ASM262740v1		GCA_002627405.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/627/405/GCF_002627405.1_ASM262740v1
GCF_002627445.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2023992	2560788	Streptomyces phage NootNoot	na	na	latest	Complete Genome	Major	Full	2019/05/02	ASM262744v1		GCA_002627445.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/627/445/GCF_002627445.1_ASM262744v1
GCF_002627465.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2023993	2560789	Streptomyces phage Paradiddles	na	na	latest	Complete Genome	Major	Full	2019/05/02	ASM262746v1		GCA_002627465.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/627/465/GCF_002627465.1_ASM262746v1
GCF_002627485.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2023994	2560790	Streptomyces phage Peebs	na	na	latest	Complete Genome	Major	Full	2019/05/02	ASM262748v1		GCA_002627485.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/627/485/GCF_002627485.1_ASM262748v1
GCF_002627505.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2023995	2560791	Streptomyces phage Samisti12	na	na	latest	Complete Genome	Major	Full	2019/05/02	ASM262750v1		GCA_002627505.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/627/505/GCF_002627505.1_ASM262750v1
GCF_002627525.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2023996	2734095	Synechococcus phage Bellamy	na	na	latest	Complete Genome	Major	Full	2020/05/15	ASM262752v1		GCA_002627525.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/627/525/GCF_002627525.1_ASM262752v1
GCF_002628245.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2024264	2560286	Agrobacterium phage Atu_ph07	na	na	latest	Complete Genome	Major	Full	2019/05/02	ASM262824v1		GCA_002628245.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/628/245/GCF_002628245.1_ASM262824v1
GCF_002629525.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2027899	2956211	Mycobacterium phage Phabba	na	na	latest	Complete Genome	Major	Full	2021/05/07	ASM262952v1		GCA_002629525.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/629/525/GCF_002629525.1_ASM262952v1
GCF_002743655.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2027905	2560705	Rhodococcus phage Trina	na	na	latest	Complete Genome	Major	Full	2019/05/02	ASM274365v1		GCA_002743655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/743/655/GCF_002743655.1_ASM274365v1
GCF_002743735.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2041205	2956235	Streptomyces phage Amethyst	na	na	latest	Complete Genome	Major	Full	2021/05/03	ASM274373v1		GCA_002743735.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/743/735/GCF_002743735.1_ASM274373v1
GCF_002743755.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2041206	2955566	Streptomyces phage Daudau	na	na	latest	Complete Genome	Major	Full	2021/05/03	ASM274375v1		GCA_002743755.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/743/755/GCF_002743755.1_ASM274375v1
GCF_002743775.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2041207	2956236	Streptomyces phage Diane	na	na	latest	Complete Genome	Major	Full	2021/05/03	ASM274377v1		GCA_002743775.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/743/775/GCF_002743775.1_ASM274377v1
GCF_002743815.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2041209	2956238	Streptomyces phage Tefunt	na	na	latest	Complete Genome	Major	Full	2021/05/03	ASM274381v1		GCA_002743815.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/743/815/GCF_002743815.1_ASM274381v1
GCF_002744375.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2041521	2955501	Mycobacterium phage Bigswole	na	na	latest	Complete Genome	Major	Full	2021/05/07	ASM274437v1		GCA_002744375.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/744/375/GCF_002744375.1_ASM274437v1
GCF_002957305.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2053672	2955572	Streptomyces phage Alsaber	na	na	latest	Complete Genome	Major	Full	2021/05/03	ASM295730v1		GCA_002957305.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/957/305/GCF_002957305.1_ASM295730v1
GCF_002957525.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2059856	2734251	Pseudomonas phage PMBT3	na	na	latest	Complete Genome	Major	Full	2020/05/15	ASM295752v1		GCA_002957525.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/957/525/GCF_002957525.1_ASM295752v1
GCF_002957535.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2059867	3059961	Vibrio phage Vp_R1	na	na	latest	Complete Genome	Major	Full	2023/01/31	ASM295753v1		GCA_002957535.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/957/535/GCF_002957535.1_ASM295753v1
GCF_002957575.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2059882	2956237	Streptomyces phage Omar	na	na	latest	Complete Genome	Major	Full	2021/05/03	ASM295757v1		GCA_002957575.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/957/575/GCF_002957575.1_ASM295757v1
GCF_003057795.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2060617	3060432	Tetraselmis virus 1	na	na	latest	Complete Genome	Major	Full	2023/05/04	ASM305779v1		GCA_003057795.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/057/795/GCF_003057795.1_ASM305779v1
GCF_003288715.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2070199	2070199	Escherichia phage EP335	na	na	latest	Complete Genome	Major	Full	2023/01/31	ASM328871v1		GCA_003288715.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/288/715/GCF_003288715.1_ASM328871v1
GCF_002958845.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2079426	2560486	Streptomyces phage BillNye	na	na	latest	Complete Genome	Major	Full	2019/05/02	ASM295884v1		GCA_002958845.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/958/845/GCF_002958845.1_ASM295884v1
GCF_002997395.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2081631	3060310	Salmonella phage SE131	na	na	latest	Complete Genome	Major	Full	2023/01/31	ASM299739v1		GCA_002997395.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/997/395/GCF_002997395.1_ASM299739v1
GCF_003428315.1	PRJNA485481	SAMN08537702	na	na	na	ICTV species exemplar	2100130	2956181	Synechococcus virus S-PRM1	na	na	latest	Complete Genome	Major	Full	2021/06/02	ASM342831v1		GCA_003428315.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/428/315/GCF_003428315.1_ASM342831v1
GCF_902994725.1	PRJNA485481	SAMEA6790544	na	derived from metagenome; genus undefined	na	ICTV species exemplar	2100421	2100421	uncultured Caudovirales phage	na	na	latest	Complete Genome	Major	Full	2020/05/07	UFOv-RH-23may17-C8087		GCA_902994725.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/994/725/GCF_902994725.1_UFOv-RH-23may17-C8087
GCF_003014035.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2108134	2955378	Streptomyces phage Paedore	na	na	latest	Complete Genome	Major	Full	2021/05/03	ASM301403v1		GCA_003014035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/014/035/GCF_003014035.1_ASM301403v1
GCF_003094315.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2163635	2845778	Pectobacterium phage Nepra	na	na	latest	Complete Genome	Major	Full	2020/06/19	ASM309431v1		GCA_003094315.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/094/315/GCF_003094315.1_ASM309431v1
GCF_003093875.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2163901	2956438	Synechococcus phage S-B64	na	na	latest	Complete Genome	Major	Full	2021/06/02	ASM309387v1		GCA_003093875.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/093/875/GCF_003093875.1_ASM309387v1
GCF_003183585.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2182319	2956117	Streptomyces phage Goby	na	na	latest	Complete Genome	Major	Full	2021/05/03	ASM318358v1		GCA_003183585.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/183/585/GCF_003183585.1_ASM318358v1
GCF_003183745.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2182346	2733973	Erwinia phage Faunus	na	na	latest	Complete Genome	Major	Full	2020/05/15	ASM318374v1		GCA_003183745.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/183/745/GCF_003183745.1_ASM318374v1
GCF_003308495.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2201421	2956707	Streptomyces phage Yosif	na	na	latest	Complete Genome	Major	Full	2021/05/03	ASM330849v1		GCA_003308495.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/308/495/GCF_003308495.1_ASM330849v1
GCF_003308735.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2218612	2846075	Ruegeria phage vB_RpoP-V13	na	na	latest	Complete Genome	Major	Full	2020/07/03	ASM330873v1		GCA_003308735.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/308/735/GCF_003308735.1_ASM330873v1
GCF_003354185.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2250335	2846392	Streptomyces phage Annadreamy	na	na	latest	Complete Genome	Major	Full	2020/06/19	ASM335418v1		GCA_003354185.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/354/185/GCF_003354185.1_ASM335418v1
GCF_003365655.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2250336	2846394	Streptomyces phage Blueeyedbeauty	na	na	latest	Complete Genome	Major	Full	2020/06/19	ASM336565v1		GCA_003365655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/365/655/GCF_003365655.1_ASM336565v1
GCF_003443335.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2268578	2734145	Synechococcus phage S-T4	na	na	latest	Complete Genome	Major	Full	2020/05/15	ASM344333v1		GCA_003443335.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/443/335/GCF_003443335.1_ASM344333v1
GCF_003366375.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2283265	2846404	Streptomyces phage StarPlatinum	na	na	latest	Complete Genome	Major	Full	2020/06/19	ASM336637v1		GCA_003366375.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/366/375/GCF_003366375.1_ASM336637v1
GCF_003366435.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2283267	2846407	Streptomyces phage Wollford	na	na	latest	Complete Genome	Major	Full	2020/06/19	ASM336643v1		GCA_003366435.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/366/435/GCF_003366435.1_ASM336643v1
GCF_003366855.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2283303	2846401	Streptomyces phage Karimac	na	na	latest	Complete Genome	Major	Full	2020/06/19	ASM336685v1		GCA_003366855.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/366/855/GCF_003366855.1_ASM336685v1
GCF_003366815.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2283304	2846402	Streptomyces phage LukeCage	na	na	latest	Complete Genome	Major	Full	2020/06/19	ASM336681v1		GCA_003366815.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/366/815/GCF_003366815.1_ASM336681v1
GCF_003435005.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2301548	2955502	Mycobacterium phage Cane17	na	na	latest	Complete Genome	Major	Full	2021/05/07	ASM343500v1		GCA_003435005.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/435/005/GCF_003435005.1_ASM343500v1
GCF_003442275.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2301573	2956000	Streptomyces phage Hank144	na	na	latest	Complete Genome	Major	Full	2021/05/03	ASM344227v1		GCA_003442275.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/442/275/GCF_003442275.1_ASM344227v1
GCF_003719055.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2301609	2955503	Mycobacterium phage CharlieB	na	na	latest	Complete Genome	Major	Full	2021/05/07	ASM371905v1		GCA_003719055.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/719/055/GCF_003719055.1_ASM371905v1
GCF_003601375.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2301621	2846408	Streptomyces phage Yaboi	na	na	latest	Complete Genome	Major	Full	2020/06/19	ASM360137v1		GCA_003601375.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/601/375/GCF_003601375.1_ASM360137v1
GCF_003442895.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2301693	3060413	Gordonia phage Neville	na	na	latest	Complete Genome	Major	Full	2022/01/24	ASM344289v1		GCA_003442895.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/442/895/GCF_003442895.1_ASM344289v1
GCF_003442695.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2301714	2846395	Streptomyces phage Comrade	na	na	latest	Complete Genome	Major	Full	2020/06/19	ASM344269v1		GCA_003442695.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/442/695/GCF_003442695.1_ASM344269v1
GCF_003443055.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2301715	2955568	Streptomyces phage Thestral	na	na	latest	Complete Genome	Major	Full	2021/05/03	ASM344305v1		GCA_003443055.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/443/055/GCF_003443055.1_ASM344305v1
GCF_003723155.1	PRJNA485481	na	na	na	na	ICTV species exemplar	2419614	2955508	Mycobacterium phage Sauce	na	na	latest	Complete Genome	Major	Full	2021/05/07	ASM372315v1		GCA_003723155.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/723/155/GCF_003723155.1_ASM372315v1
GCF_003719015.1	PRJNA485481	SAMN10909361	na	na	na	ICTV species exemplar	2419682	2845095	Klebsiella phage Pylas	na	na	latest	Complete Genome	Major	Full	2020/07/03	ASM371901v1		GCA_003719015.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/719/015/GCF_003719015.1_ASM371901v1
